countryID_y,countryID_x,medelID,CountrySizeID,wealthID,numberofhost,medel for strongest sport,2021 gode medel
0,0,3,1,3,0,12,1
1,1,3,1,3,2,106,72
2,2,1,3,2,8,824,40
3,3,3,3,3,0,31,2
4,4,3,3,3,0,8,0
5,5,3,3,3,0,14,0
6,6,3,3,3,1,34,8
7,7,3,3,3,0,0,0
8,8,3,3,3,2,59,0
9,9,3,3,3,0,57,1
10,10,3,3,3,1,19,0
11,11,3,3,3,4,98,28
12,12,3,3,3,0,8,1
13,13,3,3,3,0,14,1
14,14,3,3,3,0,0,0
15,15,3,3,3,0,2,0
16,16,3,3,3,0,47,3
17,17,3,3,3,0,66,2
18,18,2,3,3,3,265,10
19,19,3,3,3,0,15,1
20,20,3,3,3,0,2,0
21,21,2,3,3,3,211,26
22,22,3,3,3,5,123,11
23,23,3,3,3,0,28,1
24,24,3,3,3,3,130,12
25,25,3,3,3,0,105,4
26,26,3,3,3,0,0,0
27,27,3,3,3,0,9,0
28,28,3,3,3,2,47,7
29,29,3,3,3,0,7,2
30,30,3,3,3,0,1,0
31,31,3,3,3,1,34,4
32,32,3,3,3,0,1,0
33,33,3,3,3,0,9,0
34,34,3,3,3,0,24,0
35,35,3,3,3,0,2,0
36,36,3,3,3,0,66,4
37,37,3,3,3,3,66,7
38,38,3,3,3,0,20,1
39,39,3,3,3,0,18,1
40,40,3,3,3,0,0,0
41,41,3,3,3,0,2,0
42,42,3,3,3,0,15,3
43,43,3,3,3,0,0,0
44,44,3,3,3,0,2,0
45,45,3,3,3,0,4,0
46,46,3,3,3,0,3,0
47,47,3,3,3,0,14,0
48,48,3,3,3,0,0,0
49,49,3,3,3,0,0,0
50,50,3,3,3,0,3,0
51,51,3,3,3,0,6,1
52,52,3,3,3,0,2,0
53,53,3,3,3,0,1,0
54,54,3,3,3,2,220,19
55,55,3,3,3,0,18,0
56,56,3,3,3,0,1,0
57,57,3,3,3,0,0,0
58,58,3,3,3,0,0,0
59,59,3,3,3,0,1,0
60,60,3,3,3,0,2,0
61,61,3,3,3,0,0,0
62,62,3,3,3,0,1,0
63,63,3,3,3,0,24,0
64,64,3,3,3,0,5,0
65,65,3,3,3,0,71,2
66,66,3,3,3,0,0,0
67,67,3,3,3,0,0,0
