countryID,medelID,grothID,CountrySizeID,GDP(pc),wealthID,numberofhost,medel for strongest sport,2021 gode medel,GDPgrowth(pc),Average Athlete Medals,Average Team Medals,AthleteteamID
0,3,2,1,247.6245657282995,3,0,12,1,-6.72629208,2.5555555555555554,1.0,1
1,3,1,1,10616.8935024,3,2,106,72,1.995558042,30.61904761904762,19.470588235294116,1
2,1,2,1,13513.991881774646,2,8,824,40,-3.700952528,45.03846153846154,15.04,1
3,3,2,1,1002.7088298888209,3,0,31,2,-2.885094093,3.25,2.625,1
4,3,2,1,333.05205269840616,3,0,8,0,-2.97029465,1.0,1.0,0
5,3,2,1,401.89657100974523,3,0,14,0,-4.16205929,2.0,1.5714285714285714,1
6,3,2,1,1407.8272313023162,3,1,34,8,-3.918004172,4.722222222222222,5.588235294117647,2
7,3,1,1,2277.9720108600004,3,0,0,0,2.271109279,0.0,0.0,0
8,3,2,1,2954.0312549673527,3,2,59,0,-2.451026929,28.733333333333334,13.285714285714286,1
9,3,1,1,937.025645982,3,0,57,1,3.280847984,4.384615384615385,0.0,1
10,3,2,1,896.4601249144746,3,1,19,0,-8.654637261,2.8095238095238093,3.0,2
11,3,2,1,8002.856720540435,3,4,98,28,-3.996581849,13.333333333333334,3.8214285714285716,1
12,3,2,1,269.19106280239333,3,0,8,1,-10.97819414,1.5555555555555556,0.0,1
13,3,1,1,3642.9880451400004,3,0,14,1,1.770968731,3.4545454545454546,0.0,1
14,3,2,1,210.48217238198023,3,0,0,0,-1.49268943,0.0,0.0,0
15,3,1,1,3658.0742429399997,3,0,2,0,1.937355342,1.3333333333333333,0.0,1
16,3,1,1,2801.34787266,3,0,47,3,2.470892267,4.470588235294118,0.0,1
17,3,1,1,8732.28561966,3,0,66,2,1.147943989,5.722222222222222,0.0,1
18,2,2,1,9794.474665364116,3,3,265,10,-3.775429714,26.456521739130434,16.91304347826087,1
19,3,2,1,960.7832170545165,3,0,15,1,-6.287580891,3.1818181818181817,0.0,1
20,3,2,1,546.7289700028339,3,0,2,0,-1.019582809,2.0,0.0,1
