countryID,health expenditure(GPT%),HealthcostID,InternetID,Average Annual Growth Rate (%),Healthdifference,depress change around 2002,medelID,hostID,GDP(pc)
0,2.95919013,3,3,1.3896836322755313,-14.562266920000003,9.697820404764812,3,0,1913.219721
1,5.59359694,3,3,0.5420580288618833,55.1231947,-1.1852674210431573,3,1,10408.71912
2,18.81582642,1,2,0.8030161786171919,1584.3065460000007,7.421103642318782,1,1,63528.6343
3,3.41433048,3,3,1.3593757875055028,14.091364329999998,-1.1356695493701565,3,0,3895.618152
4,2.95390352,3,3,2.1645674077475525,-8.88649546,-1.3620599556217527,3,0,1322.314783
5,3.38063431,3,3,2.645448686939152,-42.19383019,1.692237022544461,3,0,2074.613928
6,10.31291676,2,3,0.8532116229814208,-72.53871169999996,2.798232225150544,3,1,6923.700197
7,2.6280098,3,3,1.2820322863700973,-29.638551389999996,2.656941891718988,3,0,2233.305893
8,7.59624338,2,3,-0.003407688990092822,318.02218930000004,-4.017302655279266,3,1,10194.44141
9,3.48096275,3,3,2.5695300276805546,-2.6072013700000003,-5.029550637177163,3,0,918.6525941
10,6.2421484,3,3,1.2957576254307743,31.09697680000002,4.180348453649632,3,1,8654.997325
11,10.9042511,2,3,-0.03873588702366939,3005.2345315999996,3.952959553974768,3,1,39986.92863
12,5.11274004,3,3,1.7456899252996902,-16.46613982999999,-1.7375312933521236,3,0,3224.422811
13,4.36497974,3,3,2.289043552213033,-52.856722350000005,-0.6853104076309133,3,0,3571.556907
14,4.05092573,3,3,3.2330602326240245,-6.460279549999999,6.0076663113314055,3,0,524.6666863
15,4.68066788,3,3,1.0372683410378205,-14.872496189999993,-0.9391455047202157,3,0,3586.347297
16,5.33579969,3,3,1.4102776901682124,44.73290709999998,4.706621917336548,3,0,2746.419483
17,4.61794329,3,3,1.2883505414875156,228.01719442999996,4.886051669341228,3,0,8561.064333
18,12.82248878,2,2,0.10410982536121816,3373.177229,10.86257859050075,2,1,46772.82535
19,4.35930967,3,3,0.5177186717600233,124.49850883,1.681212892132379,3,0,7001.785413
20,3.74659801,3,3,2.931540295915357,7.425527300000001,-0.5829184528286362,3,0,1104.164429
21,11.97759342,2,3,0.6537229320594509,3320.7189078999995,-3.869335159528344,2,1,40318.41692
