discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,country_name,country_3_letter_code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,SWE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,SWE
Curling,beijing-2022,Women,Women,GOLD,GameTeam,United Kingdom,GBR
Curling,beijing-2022,Women,Women,SILVER,GameTeam,Japan,JPN
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,Sweden,SWE
Curling,beijing-2022,Men,Men,GOLD,GameTeam,Sweden,SWE
Curling,beijing-2022,Men,Men,SILVER,GameTeam,United Kingdom,GBR
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,Canada,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,Canada,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,Sweden,SWE
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,Japan,JPN
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,New Zealand,NZL
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,United States,USA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,United States,USA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Sweden,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,Norway,NOR
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,United States,USA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,China,CHN
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,Switzerland,SUI
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,Switzerland,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,Switzerland,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,China,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,France,FRA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,United States,USA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,Australia,AUS
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,China,CHN
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,United States,USA
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,China,CHN
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,Sweden,SWE
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,Germany,GER
