Country,population in 2000,population in 2001,population in 2002,population in 2003,population in 2004,population in 2005,population in 2006,population in 2007,population in 2008,population in 2009,population in 2010,population in 2011,population in 2012,population in 2013,population in 2014,population in 2015,population in 2016,population in 2017,population in 2018,population in 2019,population in 2020,population in 2021,population in 2022,population in 2023,population in 2024,population in 2025,population in 2026,population in 2027,population in 2028
Afghanistan,,17.887,18.707,19.477,20.237,20.947,21.596,22.426,22.997,23.596,24.269,25.031,25.864,26.736,27.601,28.425,29.2,29.7,31.6,32.2,32.941,33.698,34.263,,,,,,
Albania,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.884,2.883,2.881,2.878,2.873,2.866,2.858,2.85,2.84,2.831,2.821,2.81
Algeria,30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,38.297,39.114,39.963,40.836,41.721,42.578,43.424,43.851,44.577,45.291,45.973,46.626,47.251,47.851,48.428,48.983
Andorra,,,,,,,,,,,0.07,0.07,0.07,0.07,0.071,0.072,0.073,0.075,0.076,0.078,0.078,0.08,0.082,0.084,0.086,0.088,0.09,0.093,0.095
Angola,16.394,16.942,17.516,18.124,18.771,19.451,20.162,20.91,21.692,22.508,23.364,24.259,25.188,26.147,27.128,28.128,29.155,30.209,31.274,32.354,33.428,34.504,35.711,36.783,37.886,39.023,40.194,41.399,42.641
Antigua and Barbuda,0.076,0.077,0.078,0.078,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.088,0.089,0.091,0.092,0.094,0.095,0.096,0.098,0.099,0.101,0.102,0.104,0.105,0.106,0.108,0.109
Argentina,36.784,37.156,37.516,37.87,38.226,38.592,38.971,39.356,39.746,40.134,40.788,41.261,41.733,42.203,42.67,43.132,43.59,44.045,44.495,44.939,45.388,45.842,46.3,46.763,47.231,47.703,48.18,48.662,49.149
Armenia,3.08,3.06,3.05,3.04,3.03,3.01,3.0,2.99,2.98,2.97,2.966,2.968,2.97,2.98,2.985,2.99,2.993,2.979,2.969,2.963,2.962,2.962,2.962,2.963,2.963,2.963,2.963,2.964,2.964
Aruba,0.091,0.091,0.092,0.093,0.095,0.098,0.099,0.1,0.101,0.102,0.102,0.103,0.104,0.106,0.107,0.108,0.109,0.109,0.109,0.109,0.109,0.108,0.107,0.107,0.107,0.107,0.107,0.107,0.106
Australia,19.141,19.386,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.385,24.759,25.146,25.52,25.631,25.772,26.268,26.584,26.929,27.266,27.593,27.924,28.259
Austria,8.012,8.042,8.082,8.118,8.169,8.225,8.268,8.295,8.322,8.341,8.361,8.389,8.426,8.477,8.544,8.63,8.74,8.815,8.885,8.859,8.901,8.98,9.025,9.07,9.115,9.161,9.207,9.253,9.302
Azerbaijan,8.033,8.114,8.191,8.269,8.349,8.447,8.553,8.666,8.78,8.922,8.998,9.111,9.235,9.357,9.477,9.593,9.706,9.81,9.898,9.982,10.067,10.119,10.156,10.278,10.402,10.526,10.653,10.781,10.91
Bahamas,0.304,0.308,0.313,0.318,0.323,0.328,0.332,0.337,0.342,0.347,0.351,0.355,0.359,0.362,0.366,0.37,0.373,0.377,0.381,0.385,0.389,0.394,0.399,0.404,0.408,0.413,0.417,0.421,0.425
Bahrain,0.638,0.661,0.711,0.765,0.824,0.889,0.96,1.039,1.107,1.178,1.235,1.195,1.209,1.253,1.315,1.37,1.424,1.501,1.503,1.484,1.472,1.504,1.542,1.581,1.62,1.661,1.703,1.745,1.789
Bangladesh,127.658,130.089,132.478,134.792,136.986,139.036,140.921,142.66,144.304,145.925,147.575,149.274,151.008,152.765,154.52,156.256,157.971,159.671,161.356,163.046,164.689,166.657,168.52,170.279,172.019,173.736,175.423,177.07,178.681
Barbados,0.27,0.271,0.271,0.272,0.273,0.274,0.275,0.276,0.277,0.278,0.28,0.281,0.282,0.283,0.283,0.284,0.285,0.286,0.286,0.287,0.288,0.289,0.289,0.29,0.291,0.292,0.292,0.293,0.294
Belarus,9.99,9.957,9.9,9.831,9.763,9.697,9.63,9.579,9.542,9.514,9.496,9.472,9.451,9.442,9.444,9.453,9.469,9.47,9.448,9.429,9.41,9.35,9.256,9.21,9.164,9.118,9.072,9.027,8.982
